word,class,level,translation
a,indefinite article,a1,а
abandon,verb,b2,покидать
ability,noun,a2,способность
able,adjective,a2,способный
abolish,verb,c1,отменять
abortion,noun,c1,аборт
about,adverb,a1,о
above,adverb,a1,выше
abroad,adverb,a2,за границей
absence,noun,c1,отсутствие
absent,adjective,c1,отсутствующий
absolute,adjective,b2,абсолютный
absolutely,adverb,b1,абсолютно
absorb,verb,b2,поглощать
abstract,adjective,b2,абстрактный
absurd,adjective,c1,абсурд
abundance,noun,c1,избыток
abuse,noun,c1,злоупотреблять
academic,adjective,b1,академический
academy,noun,c1,академия
accelerate,verb,c1,ускорить
accent,noun,b2,акцент
accept,verb,a2,принимать
acceptable,adjective,b2,приемлемый
acceptance,noun,c1,принятие
access,noun,b1,доступ
accessible,adjective,c1,доступный
accident,noun,a2,несчастный случай
accidentally,adverb,b2,случайно
accommodate,verb,b2,приспособиться
accommodation,noun,b1,размещение
accompany,verb,b2,сопровождать
accomplish,verb,b2,выполнить
accomplishment,noun,c1,достижение
accordance,noun,c1,соответствие
according to,preposition,a2,в соответствии с
accordingly,adverb,c1,соответственно
account,noun,b1,счет
accountability,noun,c1,подотчетность
accountable,adjective,c1,подотчетный
accountant,noun,b2,бухгалтер
accounting,noun,,бухгалтерский учет
accumulate,verb,c1,накапливаться
accumulation,noun,c1,накопление
accuracy,noun,b2,точность
accurate,adjective,b2,точный
accurately,adverb,b2,точно
accusation,noun,c1,обвинение
accuse,verb,b2,обвинять
accused,noun,c1,обвиняемый
achieve,verb,a2,достигать
achievement,noun,b1,достижение
acid,adjective,c1,кислота
acknowledge,verb,b2,сознавать
acquire,verb,b2,приобретать
acquisition,noun,c1,приобретение
acre,noun,c1,акра
across,adverb,a1,через
act,noun,b1,действовать
action,noun,a1,действие
activate,verb,b2,активировать
activation,noun,c1,активация
active,adjective,a2,активный
activist,noun,c1,активист
activity,noun,a1,активность
actor,noun,a1,актер
actress,noun,a1,актриса
actual,adjective,b2,действительный
actually,adverb,a2,на самом деле
acute,adjective,c1,острый
ad,noun,b1,объявление
adapt,verb,b2,адаптировать
adaptation,noun,c1,приспособление
add,verb,a1,добавлять
addiction,noun,b2,зависимость
addition,noun,b1,добавление
additional,adjective,b2,дополнительный
additionally,adverb,b2,кроме того
address,noun,a1,адрес
adequate,adjective,b2,адекватный
adequately,adverb,b2,адекватно
adhere,verb,c1,придерживаться
adjacent,adjective,c1,соседний
adjust,verb,b2,регулировать
adjustment,noun,c1,корректирование
administer,verb,c1,Администрирование
administration,noun,b2,администрация
administrative,adjective,c1,административный
administrator,noun,c1,администратор
admire,verb,b1,восхищаться
admission,noun,c1,допуск
admit,verb,b1,признавать
adolescent,noun,c1,подростка
adopt,verb,b2,усыновить
adoption,noun,c1,принятие
adult,adjective,a2,взрослый
advance,adjective,b2,продвигать
advanced,adjective,b1,передовой
advantage,noun,a2,преимущество
adventure,noun,a2,приключение
adverse,adjective,c1,неприятный
